entry_path,relative_path,classification,size_bytes,compressed_bytes,sha256,listed_in_internal_manifest,internal_manifest_match
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/contracts/api_v2.yaml,contracts/api_v2.yaml,interface_evidence,268,176,d26d140f7035bf6a20c7b58b25ca121b2d0c4e6cb1a1c86b28b07e6f595dec83,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/contracts/api_v3.yaml,contracts/api_v3.yaml,interface_evidence,282,182,ba0d4490b20df550a032f3301c670a335b6686c7fd62b16fc173b04bd790c050,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/data/cgt_legacy.db,data/cgt_legacy.db,structured_evidence,2392064,450936,ac41411ebbb2bf824df90137f053fe45b3cc5facf13e3555798c173d7e62554a,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/data/manifest.json,data/manifest.json,structured_evidence,736,397,9a3a22308e4233860f774d67857b8b857a6a6ee50e8094130bf671f042fb1a82,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/data/raw/batches.csv,data/raw/batches.csv,structured_evidence,103514,18055,3d9d6b034483c51a58f5b10009f0e0b3a7482e0c4220c36af678920218a637aa,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/data/raw/clinical_patient_export.csv,data/raw/clinical_patient_export.csv,structured_evidence,72679,17020,be52fdfdd65b5041bacadc44780c3db584f8bd11c45b54112fbfd52db847a7bf,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/data/raw/collections.csv,data/raw/collections.csv,structured_evidence,83707,21146,b7d76c6640b527db60c0521cf17d7ef282f0a188d472fe83b099456bad8ba4bc,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/data/raw/consents.csv,data/raw/consents.csv,structured_evidence,39709,6374,b08eaf0777ba0646ac41c758b330a7b29ebdccbb6ba9443cc53c154cfed07d4a,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/data/raw/crm_patient_export.csv,data/raw/crm_patient_export.csv,structured_evidence,101535,22858,d2ee95d5a5dfd28aa8eb8cada4397205e87dbd0c88c299715ef249d082da072f,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/data/raw/cryogenic_telemetry.csv,data/raw/cryogenic_telemetry.csv,structured_evidence,988792,97868,c2a2468ec29637ad30fbbb026fb9d440cad312efe5e20c5cb39a9659add6e863,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/data/raw/deviations.csv,data/raw/deviations.csv,structured_evidence,18168,3388,625f11f0f13bdfd54ab5c9240e179d7ce697b11959651c351bf01fa4a4884506,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/data/raw/events.jsonl,data/raw/events.jsonl,structured_evidence,1561820,146813,9a313e7adb6a1ad246edfc0535b40336bee86262704e04489a6bdc25154124a7,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/data/raw/insurance_authorizations.csv,data/raw/insurance_authorizations.csv,structured_evidence,49158,8626,69a5aec8aa344313679a6c3e9a86bbac1fa53322f8029547b3631650f27664d8,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/data/raw/manufacturing_slots.csv,data/raw/manufacturing_slots.csv,structured_evidence,55931,8206,4e27bbada77ef105a6ab594cde6a11db78b09fcfc37679e5e8a1b87b0dc12c1e,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/data/raw/patients.csv,data/raw/patients.csv,structured_evidence,98322,22762,2f4410dfb0de49b6230e20150a0c23c024a7885d7c1051dcf7a91024346837ca,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/data/raw/qc_results.csv,data/raw/qc_results.csv,structured_evidence,452458,56171,eee637b290f8b8996572254c7894808fd4eb285a2d156cfeb6eae6013ee8d41b,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/data/raw/shipments.csv,data/raw/shipments.csv,structured_evidence,218023,33452,10f55c21f2439ff5148ff7fe3a296d666ccde4f80985c00e32900c8b2b96c2af,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/data/raw/site_qualifications.csv,data/raw/site_qualifications.csv,structured_evidence,1470,322,7d29d77cda1a63bfa304f977b2fe36681ac557c6dbc13fdfe7c43772bd485eec,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/data/reference/baseline_kpis.csv,data/reference/baseline_kpis.csv,structured_evidence,670,295,094dbe0724daf1b8a97f98bbd9128309f097f2a2ac8c76e90bd457bae7e50f2f,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/data/reference/couriers.csv,data/reference/couriers.csv,structured_evidence,234,170,b431172977053d9295dda233272b74c4f4c7f5008e6c9ad495e4ba840e6cae85,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/data/reference/manufacturing_sites.csv,data/reference/manufacturing_sites.csv,structured_evidence,478,263,ac1df81c8738377ae958983a3ee08c94b63a48ca3bd77dea3c6dfbe24828a63f,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/data/reference/products.csv,data/reference/products.csv,structured_evidence,281,177,a981a45dd60605633fff4daeb7759450bc9d9b1f57883052017d914ffb936758,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/data/reference/treatment_centers.csv,data/reference/treatment_centers.csv,structured_evidence,1990,771,a0f9e5893453687152133821a618817f38f431691e825659f4ef28ad69965ba3,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/docs/01_problem_context.md,docs/01_problem_context.md,documentation_or_rule_evidence,1097,601,03ed66fa15df3bcb6bc7b248a17051940762134204cd5f2838048923565a6170,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/docs/02_imperfection_layers.md,docs/02_imperfection_layers.md,documentation_or_rule_evidence,1990,1030,3b9a4d9e058734180f4830396114be65d46c65961d8afc48f91ee51d626e6e2d,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/docs/03_architecture_current_state.md,docs/03_architecture_current_state.md,documentation_or_rule_evidence,580,369,230ac544dcd49a5ecc4daaea863876eeca24f70ccac70404a6e08c8bc06ecb54,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/docs/04_target_capabilities_not_prescribed_solutions.md,docs/04_target_capabilities_not_prescribed_solutions.md,documentation_or_rule_evidence,672,401,b7dee922cad61c65acc08122ec9d490740252f2ec95a7ba38f9e1a9a156086e5,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/docs/05_data_map.md,docs/05_data_map.md,documentation_or_rule_evidence,1041,582,68e319a29cb5bb991fdfcceb3c76f3514870c5d5a8c55882a2c9cdaacbecb4e2,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/docs/06_security_privacy_assurance.md,docs/06_security_privacy_assurance.md,documentation_or_rule_evidence,559,326,003a9e1b228f127407d681164143cf31d8dbda402d3a48c54b9d0d2d03364709,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/docs/07_v2_audit_and_changelog.md,docs/07_v2_audit_and_changelog.md,documentation_or_rule_evidence,1548,831,bc4375ec34508cb8b9ba3a530dc8cde25e1871d883264f27c40b94dfc43054b7,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/docs/sops/SOP-LOG-007-v6.md,docs/sops/SOP-LOG-007-v6.md,documentation_or_rule_evidence,164,144,509f4d483b32f06f4f01227f9bc06511093cf97f0b382b9c537dc1621a27e41f,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/docs/sops/SOP-LOG-007-v7.md,docs/sops/SOP-LOG-007-v7.md,documentation_or_rule_evidence,328,235,2570d475684eb81f6b8d0c7ca23a25463daa8c869b0eafd8f8f1bd7f6656d7d9,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/docs/sops/SOP-QA-014-v4.md,docs/sops/SOP-QA-014-v4.md,documentation_or_rule_evidence,227,175,3529a55b638bd12048fc83b48e2312362b082f1a4be6aeca752c612da62d5673,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/docs/sops/SOP-SCHED-003-v2.md,docs/sops/SOP-SCHED-003-v2.md,documentation_or_rule_evidence,254,189,551befb6d1e292dc04836cfdb9c8bd48b0419b4d057f172dde9786979ae91be7,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/evals/README.md,evals/README.md,evaluation_evidence,382,231,11bbf5bf9496ec6551480fbf436f01fc0ea53d214f67379643264389a15e321c,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/evals/cases.csv,evals/cases.csv,evaluation_evidence,791,470,947678613b337ca0d213c5bdfbcd66f5566267261602bead48d43b1aacfeb7e3,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/participant/CHALLENGE_BRIEF.md,participant/CHALLENGE_BRIEF.md,challenge_requirement,1005,610,d44a2c04fb704eda74e9ba924f36d3028a8acedb4ee6b0f4b890991c58915508,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/participant/DISCOVERY_CHECKLIST.md,participant/DISCOVERY_CHECKLIST.md,challenge_requirement,866,483,72f3b112e628db1727d0b444471c74cbae784d7af651ff69e96f9512f9b65f58,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/pyproject.toml,pyproject.toml,repository_support,549,330,752cdce8b6c9eae090375b36ae1bf511a11175684b2050bf1ab27caaf2a28036,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/requirements.txt,requirements.txt,repository_support,48,45,f421875ccdd1bbc80cb9c50d941cb0e4e9b8f8ba9d6e57753824ac035c084306,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/scenarios/README.md,scenarios/README.md,failure_scenario_evidence,187,134,afc12c8196804c4a0c9e04a3c916c6f2642b04681c0e56c5ddffd06646e0d778,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/scenarios/inject_catalog.csv,scenarios/inject_catalog.csv,failure_scenario_evidence,952,540,174e1a185aa60222f7c56cfcb93eca2946cfa55fbff34443da97fc858ff40427,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/scripts/generate_synthetic_data.py,scripts/generate_synthetic_data.py,executable_evidence,878,493,7c295bf5cf2338aed59d0dc92ca69ab6213bee7d86981a96178306070f424479,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/scripts/regenerate_v1.py,scripts/regenerate_v1.py,executable_evidence,410,277,6e7fdd475f4daa2d920c49dc8214d7b19451fdec69f8dbe54291cf7738a0ab65,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/scripts/repo_summary.py,scripts/repo_summary.py,executable_evidence,413,265,3fdf8a8f00e1ff7586325b2861955c36b26f01a4c2c84652e9124bb505bc22b2,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/scripts/verify_repo.py,scripts/verify_repo.py,executable_evidence,2126,922,b590edcd10ab58876fee9948c01bc245c2cf6fe0e289507a914a620a4e1ea6ec,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/CourierEscalations.csv,shadow_ops/CourierEscalations.csv,shadow_operations_evidence,1014,269,bfff55ca446f157eeecaae0af0dafc6dca19171ca5098db7ac81993a3f6b8168,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/ManufacturingSlots_FINAL_v7.csv,shadow_ops/ManufacturingSlots_FINAL_v7.csv,shadow_operations_evidence,57056,8297,4b5de8dbc8e5821fa6c46d22e290085a5e5b2415a8005c317d0a116e0c20ed67,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/PatientPriority_MASTER.csv,shadow_ops/PatientPriority_MASTER.csv,shadow_operations_evidence,18865,2482,cfef100a13148a01f34878d6cfc663b60b1abcd4f332df0c971c5cff84cddc4a,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_001.eml,shadow_ops/emails/email_001.eml,shadow_operations_evidence,229,177,a2bac024cbcddc42359fd4b83d2016153ef13a982977d790e667d74642b54666,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_002.eml,shadow_ops/emails/email_002.eml,shadow_operations_evidence,228,175,68c0ad8b1669334d16c3607ae4e49789938874276ee2babae9c7c49cbd6cfaaf,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_003.eml,shadow_ops/emails/email_003.eml,shadow_operations_evidence,232,179,68903ec1217003a866b3aeb742714759792efcd29d74c15b40bce58e01a12894,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_004.eml,shadow_ops/emails/email_004.eml,shadow_operations_evidence,224,172,622fab8523ed679f92a8b3b63afa785bfa2b67c02987457ef4ead01bec262a47,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_005.eml,shadow_ops/emails/email_005.eml,shadow_operations_evidence,228,171,249700f639118cbd78c06646bf95fa49f2df4adbd0d673f7d53947f2a31150ac,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_006.eml,shadow_ops/emails/email_006.eml,shadow_operations_evidence,229,175,6d6da3b5c18de7aa91bf54c74d28ff84f781bccd81e62f5785263a0e19a3b8f0,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_007.eml,shadow_ops/emails/email_007.eml,shadow_operations_evidence,224,172,4d1545c56e2f3a5dd5ad703d58a6e187d9afbb70d7c381eaf96adec3ef4f1b85,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_008.eml,shadow_ops/emails/email_008.eml,shadow_operations_evidence,232,178,338e14d6f9472cace5a9d008c761b00bfb2e40146eae771580a3a8ab6b548107,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_009.eml,shadow_ops/emails/email_009.eml,shadow_operations_evidence,224,172,74a86401534e6c98fba0ba56f8632891c09cf25030ba33beb7ec163f6812e2c9,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_010.eml,shadow_ops/emails/email_010.eml,shadow_operations_evidence,229,175,78659ee799607717b74ab83ef8be79c837ad645fa5f773b40ed2ff98ee6d7d70,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_011.eml,shadow_ops/emails/email_011.eml,shadow_operations_evidence,232,177,01185f7593dbbe2dfd096d149c25d9ea8fb613142d14718d5a51a69baec36750,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_012.eml,shadow_ops/emails/email_012.eml,shadow_operations_evidence,224,172,099d6b150c9ec0cb1332553778f1ce83992c8d98aef4033c9d0b62939136b936,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_013.eml,shadow_ops/emails/email_013.eml,shadow_operations_evidence,229,176,f7491fcb1e9f1675be5ce07d5a9808ccd3cc0a3a387130bde3d0d05cbc4aa87b,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_014.eml,shadow_ops/emails/email_014.eml,shadow_operations_evidence,228,174,5564af433e7b8d62943586426da76dae049520017b5b0bccb10e2a6a83b54f15,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_015.eml,shadow_ops/emails/email_015.eml,shadow_operations_evidence,229,175,430b80ff5ad8d13d374c4d38ea2103f9a5333d2ad6c07036606f946b4f2311bf,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_016.eml,shadow_ops/emails/email_016.eml,shadow_operations_evidence,224,176,eab07bef6294648d5cf851530e95c0a35cfbd0b66cca712ca8fb1c5d5b21a92c,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_017.eml,shadow_ops/emails/email_017.eml,shadow_operations_evidence,229,176,ee4af69594e43a411ae38abdaf25f7e90ee8fd431e22fbd83caf1cf26331a47d,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_018.eml,shadow_ops/emails/email_018.eml,shadow_operations_evidence,228,172,5272e93f324689c38d504f663b4a7e78e1d6849079f7f525704beb4c16d52296,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_019.eml,shadow_ops/emails/email_019.eml,shadow_operations_evidence,232,178,4799ed1fe165df957eedc5d9a8561974f35273f1a1c020a66c8ea541637eadb7,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_020.eml,shadow_ops/emails/email_020.eml,shadow_operations_evidence,198,160,07c61092fc449b7851a47ebd6b5be73d427bae4e8056c38d59b3c6d43a377389,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_021.eml,shadow_ops/emails/email_021.eml,shadow_operations_evidence,228,174,8793ec1e140d1fd5b64a988ecf45317a9dba052f55301523f3f25094a07d12d4,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_022.eml,shadow_ops/emails/email_022.eml,shadow_operations_evidence,229,176,d85835efea22a64a8caab8a7dcd2e9238d0bd7f743b52d559ca7819474d038b2,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_023.eml,shadow_ops/emails/email_023.eml,shadow_operations_evidence,224,172,1b137eaaf17921ecaf3d26c72017f933babf30544bc304cc05a7e30d69ab0113,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_024.eml,shadow_ops/emails/email_024.eml,shadow_operations_evidence,197,157,c00317de4bfa8ea442a6bd79d34311d0f3e14a1fc7b70dcc63e1e29fca157dd9,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_025.eml,shadow_ops/emails/email_025.eml,shadow_operations_evidence,198,160,f7f5a1defbd1acb65b262527e2798bb0e9db5eeacf707ec56662cecd56ce18a7,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_026.eml,shadow_ops/emails/email_026.eml,shadow_operations_evidence,229,176,9ee60576874ec3a66e8cfef59af73d9c92f88fac243b6ce747dfa073511649cb,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_027.eml,shadow_ops/emails/email_027.eml,shadow_operations_evidence,224,176,26f621550801af2733391b86ecb8dfca84d778b8bb6ad0212e9b413adebe213e,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_028.eml,shadow_ops/emails/email_028.eml,shadow_operations_evidence,224,171,4a3c3e7478f1cfae4e3a617dd58faad00065c0298c12819e126f564afaf1b74a,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_029.eml,shadow_ops/emails/email_029.eml,shadow_operations_evidence,224,172,0319d36d9d99d650f8324e636dfea5372da2ae6a30da8cb23a40cb727aeab295,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_030.eml,shadow_ops/emails/email_030.eml,shadow_operations_evidence,229,175,8ab7f8d817af5835556bfc1a2b33fda54667422d6bb3533c0461b0e7ed0435f6,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_031.eml,shadow_ops/emails/email_031.eml,shadow_operations_evidence,198,160,fd3077889f6b7b6c97f7002d0511ab8faa078284f85706cc27c5052fcd096db4,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_032.eml,shadow_ops/emails/email_032.eml,shadow_operations_evidence,228,175,b77c2581a49e87be141e32a8de5e7f2b944676ef5aa61730ee3031170948e54c,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_033.eml,shadow_ops/emails/email_033.eml,shadow_operations_evidence,198,161,468b92ba7aab84671033e9fe9f39cd5aa837d243da85b782389122123cf608dd,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_034.eml,shadow_ops/emails/email_034.eml,shadow_operations_evidence,224,173,63f4670b1256fb0f542fbec0442585d62acfc16e924cc29f0597bb3598eff8b7,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_035.eml,shadow_ops/emails/email_035.eml,shadow_operations_evidence,232,179,5cfeb674ba09f213492f8ce9dd06761df39f7269da2d0f6f9a1a2624503ad956,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_036.eml,shadow_ops/emails/email_036.eml,shadow_operations_evidence,198,161,811cb00a1563309e9ef3f3b150a117617b22bdbeac8f80967becb5d895efee1d,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_037.eml,shadow_ops/emails/email_037.eml,shadow_operations_evidence,228,177,3075cc01f32a2b6b9afc42557a10a03ae8c46b6c07bdd9452fbe1f15afcaa26b,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_038.eml,shadow_ops/emails/email_038.eml,shadow_operations_evidence,224,173,76368df7f5daa8d47833e2ee0d379cbc1c98ac4a31d896852618823d19fdbebf,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_039.eml,shadow_ops/emails/email_039.eml,shadow_operations_evidence,228,175,760a000248d7da9a064d1222c34e758f84233856341479cb08da9d5d5ed1bdad,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_040.eml,shadow_ops/emails/email_040.eml,shadow_operations_evidence,232,178,14b0d6aa1a817f197bc91781649a4907dcc7dfe0697e526ebfb1d5beb3d18a3b,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_041.eml,shadow_ops/emails/email_041.eml,shadow_operations_evidence,229,177,4bb535455e33b54dbaf4adec81458db1f0704b618c9624fce2bf7ebcec64aab5,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_042.eml,shadow_ops/emails/email_042.eml,shadow_operations_evidence,198,160,dbcc8aadb1db833b6557d29f52df9d14e234d46b15c3471c40da9ad3d2f7c6a6,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_043.eml,shadow_ops/emails/email_043.eml,shadow_operations_evidence,224,173,887910b0892b92c1aae56936e13901067723cb51f4b06e6cee0c50aed313390a,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_044.eml,shadow_ops/emails/email_044.eml,shadow_operations_evidence,198,159,a9b5c92b38fe3965059ab40266a03b07259147f54fdc0a871ff60a50487cf2ff,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_045.eml,shadow_ops/emails/email_045.eml,shadow_operations_evidence,228,176,14cc42be7f1376cbecf9326a8a10f4685826c611e55976c223a20db5dc3296ba,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_046.eml,shadow_ops/emails/email_046.eml,shadow_operations_evidence,198,161,df24e0b764d372530c6f2ca85b2ea9b27f98ec1c8702eeb57252748fef69cfda,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_047.eml,shadow_ops/emails/email_047.eml,shadow_operations_evidence,228,176,abf5ccabbe3230f4dd2d4727dfcd722e375cb68b7650c2e7fd3bebe04660ea9e,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_048.eml,shadow_ops/emails/email_048.eml,shadow_operations_evidence,229,175,a11ac97bfddcae18d5001fbb5cf6ed2cf60e8fcfe85ae7f7b0b9e60a2af0f2dd,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_049.eml,shadow_ops/emails/email_049.eml,shadow_operations_evidence,228,171,06b9eaaac460a3bf26eb9c2eeb087111d944be2fc28e4bbbcc68ed45d4cc9e0d,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_050.eml,shadow_ops/emails/email_050.eml,shadow_operations_evidence,198,158,1c5c6cd2d4cd684b93077093f6dc3e1a6dc217b272d838af59850be914dfc188,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_051.eml,shadow_ops/emails/email_051.eml,shadow_operations_evidence,229,176,7cbccee9b0f491fe82e3fb961669d1ce0170dad636afca189ff805e97562327d,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_052.eml,shadow_ops/emails/email_052.eml,shadow_operations_evidence,228,172,a681f38bfc34abaa04eb077dfbc15aa863c7a12c57f9cb9cc9515e68631b86bd,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_053.eml,shadow_ops/emails/email_053.eml,shadow_operations_evidence,228,176,0104f72524a60efd298ab9e985c983ad2a440649ea5941981c05b446258a5a10,True,True
AI_FDE_CGT_Patient_to_Batch_Orchestration_v2/shadow_ops/emails/email_054.eml,shadow_ops/emails/email_054.eml,shadow_operations_evidence,224,173,d2f28c9945394aa3acfbf2adf5994eaf2c4542813894519e3aa74828e1e50d8d,True,True
